"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3";"CAP_EEEFPC101XAP";2;"EEEFPC101XAP";;;
2;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
3;"U2";"MODULE_RP2040-ZERO";1;"RP2040-ZERO";;;
4;"R1,R2";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"1K";;;
5;"U1";"MODULE_TMC2209_SILENTSTEPSTICK";1;"TMC2209_SILENTSTEPSTICK";;;
6;"C2,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2.2uF";;;
7;"J2";"PinHeader_2x02_P2.54mm_Vertical";1;"Conn_02x02_Odd_Even";;;
8;"D1";"D_0402_1005Metric_Pad0.77x0.64mm_HandSolder";1;"TPD1E10B06DPYR";;;
9;"C4,C6";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"0.1uF";;;
10;"U4";"SOT-23-5_HandSoldering";1;"74LVC1G17";;;
11;"U3";"SOT-23_Handsoldering";1;"DRV5055A3xDBZxQ1";;;
12;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"330";;;
